T_ZONE1;T_ZONE2;T_ZONE3;T_ZONE4;T_ZONE5;T_ZONE6;H_ZONE1;H_ZONE2;H_ZONE3;H_ZONE4;H_ZONE5;H_ZONE6
22,685;22,525;22,537;22,461;22,558;22,702;100,00;100,00;100,00;100,00;99,85;99,60
22,726;22,612;22,608;22,543;22,612;22,735;100,00;100,00;100,00;100,00;99,22;98,97
22,884;22,682;22,682;22,654;22,744;22,848;100,00;100,00;100,00;99,45;98,30;98,65
22,908;22,718;22,75;22,794;22,886;22,989;100,00;100,00;100,00;99,12;97,67;97,40
22,914;22,775;22,676;22,91;22,98;23,104;100,00;100,00;100,00;98,20;97,07;96,77
22,988;22,717;22,724;22,848;23,017;23,221;100,00;100,00;100,00;99,75;98,60;96,77
23,02;22,799;22,808;22,901;23,091;23,377;100,00;100,00;100,00;99,12;97,67;97,07
23,062;22,85;22,898;22,931;23,137;23,353;100,00;100,00;100,00;99,12;96,75;96,77
23,151;22,941;23,067;23,127;23,404;23,29;100,00;100,00;100,00;98,50;97,07;97,07
23,248;23,155;23,208;23,32;23,459;23,61;100,00;100,00;100,00;98,20;96,75;96,15
23,265;23,269;23,188;23,484;23,513;23,658;100,00;99,60;100,00;97,27;96,75;96,15
23,347;23,259;23,323;23,349;23,335;23,661;100,00;98,10;99,97;96,95;96,75;96,15
23,406;23,332;23,382;23,481;23,615;23,853;100,00;99,60;100,00;97,27;96,15;94,90
23,37;23,434;23,462;23,489;23,592;23,904;100,00;100,00;100,00;97,87;97,07;94,27
23,38;23,454;23,454;23,594;23,782;24,127;100,00;99,30;100,00;97,27;95,22;93,02
23,413;23,486;23,453;23,803;24,041;24,174;100,00;98,70;99,97;96,32;94,90;93,02
23,496;23,437;23,594;23,696;24;24,52;100,00;99,00;99,67;96,95;94,60;92,40
23,633;23,588;23,776;23,758;24,086;24,541;100,00;98,40;98,70;96,65;94,30;92,40
23,702;23,871;24,003;24,219;24,423;24,669;100,00;98,70;97,42;93,85;93,07;91,77
23,794;24,017;24,135;24,482;24,72;25,001;100,00;95,70;96,47;92,62;91,55;90,22
23,936;24,061;24,34;24,444;24,664;24,457;100,00;96,30;96,80;93,55;93,37;94,27
24,115;24,419;24,617;24,974;25,412;25,29;100,00;97,50;96,15;92,92;90,02;90,85
24,28;24,744;25,107;25,381;25,648;25,803;100,00;96,00;93,92;91,10;87,30;87,77
24,57;25,199;25,468;25,76;26,054;27,172;100,00;93,92;90,15;86,82;84,87;79,55
24,773;25,465;25,45;25,867;25,986;26,402;100,00;91,25;91,42;86,52;84,27;82,87
24,529;25,109;25,095;25,885;25,8;26,135;100,00;92,72;92,05;85,00;85,47;85,00
24,479;24,914;24,984;25,333;25,8;25,812;100,00;94,20;92,35;89,57;86,10;86,22
24,49;24,917;25,224;25,197;25,937;25,731;100,00;92,12;91,10;88,95;85,47;85,62
24,694;25,482;25,63;26,008;26,325;26,687;100,00;90,35;87,97;84,70;82,50;82,27
24,767;25,512;25,69;26,221;26,392;26,82;100,00;91,25;87,97;82,57;82,77;80,45
24,697;25,435;25,599;26,155;26,356;26,472;100,00;93,02;91,10;85,30;83,37;83,17
24,62;25,333;25,563;25,905;26,21;26,535;100,00;92,42;92,05;88,05;85,47;83,47
24,622;25,299;25,567;26,034;26,127;26,444;100,00;93,92;92,67;88,95;87,30;86,55
24,687;25,416;25,835;25,869;26,644;26,663;100,00;93,32;92,05;88,35;83,37;81,65
25,15;26,49;26,532;27,089;29,566;29,108;99,20;89,17;87,65;83,50;71,85;69,40
25,208;29,254;27,293;29,227;30,876;31,826;98,27;73,27;80,55;76,00;68,37;59,80
25,858;27,78;27,798;29,962;28,676;32,489;93,92;76,42;77,77;71,87;71,57;56,95
25,887;27,447;28,665;30,513;29,309;31,737;93,00;79,27;75,65;71,57;70,97;59,22
25,91;27,535;28,02;29,657;28,344;29,805;91,15;78,70;78,10;69,52;70,10;65,60
26,014;27,375;27,901;29,099;29,824;29,862;92,37;78,42;78,70;71,27;67,22;65,30
26,43;27,826;28,831;29,262;29,728;29,495;92,67;80,15;78,10;72,17;68,65;68,82
26,803;28,311;29,403;31,148;30,244;30,348;92,07;79,27;74,75;69,22;68,37;66,47
26,612;30,856;29,862;31,01;30,925;30,604;93,00;69,05;70,82;68,35;66,62;66,17
26,444;31,466;30,28;30,947;32,125;31,13;93,00;65,97;72,32;67,77;63,47;62,97
26,507;31,214;30,486;31,051;31,941;30,731;93,60;67,65;73,22;70,40;60,92;63,85
26,587;31,571;30,266;30,949;33,209;31,14;93,60;67,92;70,82;72,75;56,95;63,27
26,982;31,381;31,172;31,3;34,438;31,069;89,92;68,50;64,27;60,55;52,47;60,37
27,801;33,297;30,733;32,555;33,808;31,984;86,85;61,27;67,55;55,42;54,15;57,52
30,274;32,725;31,596;31,816;33,683;31,775;77,50;64,02;56,67;54,57;50,25;54,95
30,228;32,988;30,657;31,806;33,362;32,507;74,82;61,82;67,55;52,05;48,60;50,45
30,657;32,458;31,458;31,767;31,91;31,713;74,52;61,00;54,95;53,45;53,02;53,55
33,026;33,207;31,427;32,29;34,025;32,1;68,92;56,07;57,27;53,45;49,15;50,73
32,353;32,962;32,125;32,164;33,875;32,366;68,92;62,65;52,38;54,30;48,33;52,13
30,738;32,217;31,627;32,463;32,103;32,067;76,02;54,20;54,37;52,60;53,32;53,25
30,322;33,282;31,703;32,028;34,209;31,76;76,02;51,78;56,10;52,90;49,15;53,55
